index,date
4051,20180222
4052,20180223
4053,20180226
4054,20180227
4055,20180228
4056,20180301
4057,20180302
4058,20180305
4059,20180306
4060,20180307
4061,20180308
4062,20180309
4063,20180312
4064,20180313
4065,20180314
4066,20180315
4067,20180316
4068,20180319
4069,20180320
4070,20180321
4071,20180322
4072,20180323
4073,20180326
4074,20180327
4075,20180328
4076,20180329
4077,20180330
4078,20180331
4079,20180402
4080,20180403
4081,20180404
4082,20180405
4083,20180406
4084,20180409
4085,20180410
4086,20180411
4087,20180412
4088,20180413
4089,20180416
4090,20180417
4091,20180418
4092,20180419
4093,20180420
4094,20180423
4095,20180424
4096,20180425
4097,20180426
4098,20180427
4099,20180430
4100,20180501
4101,20180502
4102,20180503
4103,20180504
4104,20180507
4105,20180508
4106,20180509
4107,20180510
4108,20180511
4109,20180514
4110,20180515
4111,20180516
4112,20180517
4113,20180518
4114,20180521
4115,20180522
4116,20180523
4117,20180524
4118,20180525
4119,20180528
4120,20180529
4121,20180530
4122,20180531
4123,20180601
4124,20180604
4125,20180605
4126,20180606
4127,20180607
4128,20180608
4129,20180611
4130,20180612
4131,20180613
4132,20180614
4133,20180615
4134,20180618
4135,20180619
4136,20180620
4137,20180621
4138,20180622
4139,20180625
4140,20180626
4141,20180627
4142,20180628
4143,20180629
4144,20180702
4145,20180703
4146,20180704
4147,20180705
4148,20180706
4149,20180709
4150,20180710
4151,20180711
4152,20180712
4153,20180713
4154,20180716
4155,20180717
4156,20180718
4157,20180719
4158,20180720
4159,20180723
4160,20180724
4161,20180725
4162,20180726
4163,20180727
4164,20180730
4165,20180731
4166,20180801
4167,20180802
4168,20180803
4169,20180806
4170,20180807
4171,20180808
4172,20180809
4173,20180810
4174,20180813
4175,20180814
4176,20180815
4177,20180816
4178,20180817
4179,20180820
4180,20180821
4181,20180822
4182,20180823
4183,20180824
4184,20180827
4185,20180828
4186,20180829
4187,20180830
4188,20180831
4189,20180903
4190,20180904
4191,20180905
4192,20180906
4193,20180907
4194,20180910
4195,20180911
4196,20180912
4197,20180913
4198,20180914
4199,20180917
4200,20180918
4201,20180919
4202,20180920
4203,20180921
4204,20180924
4205,20180925
4206,20180926
4207,20180927
4208,20180928
4209,20181001
4210,20181002
4211,20181003
4212,20181004
4213,20181005
4214,20181008
4215,20181009
4216,20181010
4217,20181011
4218,20181012
4219,20181015
4220,20181016
4221,20181017
4222,20181018
4223,20181019
4224,20181022
4225,20181023
4226,20181024
4227,20181025
4228,20181026
4229,20181029
4230,20181030
4231,20181031
4232,20181101
4233,20181102
4234,20181105
4235,20181106
4236,20181107
4237,20181108
4238,20181109
4240,20181112
4241,20181113
4242,20181114
4243,20181115
4244,20181116
4245,20181119
4246,20181120
4247,20181121
4248,20181122
4249,20181123
4250,20181126
4251,20181127
4252,20181128
4253,20181129
4254,20181130
4255,20181203
4256,20181204
4257,20181205
4258,20181206
4259,20181207
4260,20181210
4261,20181211
4262,20181212
4263,20181213
4264,20181214
4265,20181217
4266,20181218
4267,20181219
4268,20181220
4269,20181221
4270,20181222
4271,20181224
4272,20181225
4273,20181226
4274,20181227
4275,20181228
4276,20181231
4277,20190101
4278,20190102
4279,20190103
4280,20190104
4281,20190107
4282,20190108
4283,20190109
4284,20190110
4285,20190111
4286,20190114
4287,20190115
4288,20190116
4289,20190117
4290,20190118
4291,20190121
4292,20190122
4293,20190123
4294,20190124
4295,20190125
4296,20190128
4297,20190129
4298,20190130
4299,20190131
4300,20190201
4301,20190204
4302,20190205
4303,20190206
4304,20190207
4305,20190208
4306,20190211
4307,20190212
4308,20190213
4309,20190214
4310,20190215
4311,20190218
4312,20190219
4313,20190220
4314,20190221
4315,20190222
4316,20190225
4317,20190226
4318,20190227
4319,20190228
4320,20190301
4321,20190304
4322,20190305
4323,20190306
4324,20190307
4325,20190308
4326,20190311
4327,20190312
4328,20190313
4329,20190314
4330,20190315
4331,20190318
4332,20190319
